DaysOfWeek,,Nakshatra,,Zodiac,,Planets,,,Sectors,,,,PanchakDates,,
Monday,,Ashvini,,Aries,,Mars,,,Public Sector Enterprises (PSE),,,,Month,Panchak Starts,Panchak Ends
Tuesday,,Bharani,,Tauras,,Venus,,,Public Sector Banks,,,,Jan-24,"January 13th, Saturday at 11:36 PM","January 18th, Thursday at 3:33 AM"
Wednesday,,Krithika,,Gemini,,Mercury,,,Precisous Stones,,,,Feb-24,"February 10th, Saturday at 10:01 AM","February 14th, Wednesday at 10:43 AM"
Thursday,,Rohini,,Cancer,,Saturn,,,Gilt,,,,Mar-24,"March 8th, Friday at 9:18 PM","March 12th, Tuesday at 8:29 PM"
Friday,,Mrigasira,,Leo,,Jupiter,,,Edged Securities,,,,Apr-24,"April 5th, Friday at 7:09 AM","April 9th, Tuesday at 7:32 AM"
Saturday,,Arudra,,Virgo,,Sun,,,Rice,,,,May-24,"May 2nd, Thursday at 2:02 AM","May 6th, Monday at 5:48 AM"
Sunday,,Punarvasu,,Libra,,Rahu,,,Honey,,,,May-24,"May 29th, Wednesday at 7:36 AM","June 3rd, Monday at 5:15 AM"
,,Pushya,,Scorpio,,Ketu,,,Aromatic Herbs,,,,Jun-24,"June 25th, Tuesday at 1:19 PM","June 29th, Saturday at 2:10 AM"
,,Ashlesha,,Sagittarius,,Moon,,,Gold,,,,Jul-24,"July 22nd, Monday at 8:50 PM","July 26th, Friday at 10:40 AM"
,,Magha,,Capricon,,Hershel,,,Silver,,,,Aug-24,"August 19th, Monday at 6:30 AM","August 23rd, Friday at 7:43 AM"
,,Purva Phalguni,,Aquarius,,Neptune,,,Milk & Milk Products,,,,Sep-24,"September 15th, Sunday at 5:14 PM","September 19th, Thursday at 6:29 AM"
,,Uttara Phalguni,,Pisces,,Pluto,,,Petrolium,,,,Oct-24,"October 13th, Sunday at 3:14 AM","October 17th, Thursday at 4:39 AM"
,,Hastha,,,,,,,Liquids,,,,Nov-24,"November 9th, Saturday at 9:57 AM","November 13th, Wednesday at 11:28 AM"
,,Chitra,,,,,,,Hotels,,,,Dec-24,"December 6th, Friday at 3:37 PM","December 10th, Tuesday at 4:57 AM"
,,Swathi,,,,,,,Liqour,,,,,,
,,Vishakha,,,,,,,Fishery,,,,,,
,,Anuradha,,,,,,,Navigation & Shipping,,,,,,
,,Jyestha,,,,,,,Glass,,,,,,
DayType,,Purva Ashada,,,,,,,Iron & Steel,,,,,,
Bullish,,Uttara Ashada,,,,,,,Healthcare,,,,,,
Super Bullish,,Shravana,,,,,,,Pharma,,,,,,
Bearish,,Dhanistha,,,,,,,Metals,,,,,,
Super Bearish,,Shatabhisha,,,,,,,Engineering,,,,,,
No Trend,,Purva Bhadra,,,,,,,Machinery,,,,,,
Sideways,,Uttara Bhadra,,,,,,,Defence,,,,,,
,,Revathi,,,,,,,Railways,,,,,,
,,Moola,,,,,,,Gold,,,,,,
,,,,,,,,,Rice,,,,,,
,,,,,,,,,Grams,,,,,,
,,,,,,,,,Related to Fire,,,,,,
,,,,,,,,,Bricks,,,,,,
,,,,,,,,,"Tea, Cofee & hard Drinks",,,,,,
,,ZodiacDates,,,,,,,Sentiments,,,,,,
,,Zodiac,Start Date,End Date,year,Element,Ruling Planet,,Wheet & Grains,,,,,,
,,Capricon,22-Dec-23,19-Jan-24,,Earth,Saturn,,"Silk & Cotton, Textiles",,,,,,
,,Aquarius,20-Jan-24,18-Feb-24,,Air,Hershel,,Sugar,,,,,,
,,Aquarius,20-Jan-24,18-Feb-24,,Air,Saturn,,Telecommunication,,,,,,
,,Pisces,19-Feb-24,20-Mar-24,,water,Neptune,,Aviation,,,,,,
,,Aries,21-Mar-24,19-Apr-24,,Fire,Mars,,Banking & Finance,,,,,,
,,Tauras,20-Apr-24,20-May-24,,Earth,Venus,,FMCG,,,,,,
,,Gemini,21-May-24,20-Jun-24,,Air,Mercury,,Information Technology,,,,,,
,,Cancer,21-Jun-24,22-Jul-24,,water,Moon,,Cotton & Jute,,,,,,
,,Leo,23-Jul-24,22-Aug-24,,Fire,Sun,,Fancy Texiles,,,,,,
,,Virgo,23-Aug-24,22-Sep-24,,Earth,Mercury,,Premium Rice & Wheat,,,,,,
,,Libra,23-Set-24,22-Oct-24,,Air,Venus,,lesion Silk,,,,,,
,,Scorpio,23-Oct-24,21-Nov-24,,water,Pluto,,Confectionary,,,,,,
,,Scorpio,23-Oct-24,21-Nov-24,,water,Mars,,Pearls & Gems,,,,,,
,,Sagittarius,22-Nov-24,21-Dec-24,,Fire,Jupiter,,Mirror  & Glass,,,,,,
,,,,,,,,,Floriculture,,,,,,
,,,,,,,,,Copper Trade,,,,,,
,,,,,,,,,Fancy Industry - Media,,,,,,
,,,,,,,,,Under Garments,,,,,,
,,,,,,,,,Perfumes,,,,,,
,,PanchakDates,,,,,,,Quality Fruits & Species,,,,,,
,,Month,Panchak Starts,Panchak Ends,,,,,Turmeric,,,,,,
,,Jan-24,"January 13th, Saturday at 11:36 PM","January 18th, Thursday at 3:33 AM",,,,,Tin,,,,,,
,,Feb-24,"February 10th, Saturday at 10:01 AM","February 14th, Wednesday at 10:43 AM",,,,,Rubber,,,,,,
,,Mar-24,"March 8th, Friday at 9:18 PM","March 12th, Tuesday at 8:29 PM",,,,,Foodprocessing,,,,,,
,,Apr-24,"April 5th, Friday at 7:09 AM","April 9th, Tuesday at 7:32 AM",,,,,Silver,,,,,,
,,May-24,"May 2nd, Thursday at 2:02 AM","May 6th, Monday at 5:48 AM",,,,,Zinc,,,,,,
,,May-24,"May 29th, Wednesday at 7:36 AM","June 3rd, Monday at 5:15 AM",,,,,Grams,,,,,,
,,Jun-24,"June 25th, Tuesday at 1:19 PM","June 29th, Saturday at 2:10 AM",,,,,Jute,,,,,,
,,Jul-24,"July 22nd, Monday at 8:50 PM","July 26th, Friday at 10:40 AM",,,,,Tobacco,,,,,,
,,Aug-24,"August 19th, Monday at 6:30 AM","August 23rd, Friday at 7:43 AM",,,,,Share Trading,,,,,,
,,Sep-24,"September 15th, Sunday at 5:14 PM","September 19th, Thursday at 6:29 AM",,,,,Legal,,,,,,
,,Oct-24,"October 13th, Sunday at 3:14 AM","October 17th, Thursday at 4:39 AM",,,,,Clorth Mills,,,,,,
,,Nov-24,"November 9th, Saturday at 9:57 AM","November 13th, Wednesday at 11:28 AM",,,,,Luxary highend products,,,,,,
,,Dec-24,"December 6th, Friday at 3:37 PM","December 10th, Tuesday at 4:57 AM",,,,,Coal,,,,,,
,,,,,,,,,Lead,,,,,,
,,,,,,,,,Copper  ,,,,,,
,,,,,,,,,Cement & Cement Products,,,,,,
,,,,,,,,,Oil Seeds,,,,,,
,,,,,,,,,Wool,,,,,,
,,,,,,,,,Iron & Steel,,,,,,
,,,,,,,,,Leather,,,,,,
,,,,,,,,,Shoes,,,,,,
,,,,,,,,,Barley,,,,,,
,,,,,,,,,Mining,,,,,,
,,,,,,,,,Farming,,,,,,
,,,,,,,,,Real Estate,,,,,,
,,,,,,,,,Metalurgical Products,,,,,,
,,,,,,,,,Marbles & Granites,,,,,,
,,,,,,,,,Vegetables,,,,,,
,,,,,,,,,Electrical Goods,,,,,,
,,,,,,,,,Crude Oil,,,,,,
,,,,,,,,,Oil & Gas,,,,,,
,,,,,,,,,Power,,,,,,
,,,,,,,,,Infrastructure,,,,,,
,,,,,,,,,Automobiles,,,,,,
,,,,,,,,,Media & Entertainment,,,,,,
,,,,,,,,,Aeroplanes,,,,,,
,,,,,,,,,Surgical Goods,,,,,,
,,,,,,,,,Wireless  & Telegraph,,,,,,
,,,,,,,,,Aerial Navigation,,,,,,
,,,,,,,,,High Speed Automobiles,,,,,,
,,,,,,,,,Railroads & Railway,,,,,,
,,,,,,,,,Government Papers,,,,,,
,,,,,,,,,Film Industry,,,,,,
,,,,,,,,,Aereted Water,,,,,,
,,,,,,,,,Aluminum & Lession,,,,,,
,,,,,,,,,Raw Tea,,,,,,
,,,,,,,,,Raw Cotton,,,,,,
,,,,,,,,,Medicine & Drugs,,,,,,
,,,,,,,,,Nickel,,,,,,
,,,,,,,,,Iron Ore,,,,,,
,,,,,,,,,Equities,,,,,,
,,,,,,,,,Current Assets,,,,,,
,,,,,,,,,Publications,,,,,,
,,,,,,,,,Paper Industries,,,,,,
,,,,,,,,,Fixed Assets,,,,,,
,,,,,,,,,Currency,,,,,,
,,,,,,,,,Pulses,,,,,,
,,,,,,,,,Chemicals,,,,,,
,,,,,,,,,Jaggery,,,,,,
,,,,,,,,,Steel,,,,,,
,,,,,,,,,Salt,,,,,,
,,,,,,,,,Foreign Bonds,,,,,,
,,,,,,,,,Insurance,,,,,,
,,,,,,,,,Textile shares,,,,,,
,,,,,,,,,Iron & Steel Shares,,,,,,
,,,,,,,,,Photos,,,,,,
,,,,,,,,,Wooden Furniture,,,,,,
,,,,,,,,,Paints,,,,,,
,,,,,,,,,Premium Silk,,,,,,
,,,,,,,,,Coal Company Shares,,,,,,
,,,,,,,,,Oil,,,,,,
,,,,,,,,,Steel Goods,,,,,,
,,,,,,,,,Iron Shares,,,,,,
,,,,,,,,,Wax Industry,,,,,,
,,,,,,,,,Drugs,,,,,,
,,,,,,,,,Diamonds,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
